timestamp,time_iran,month,day_of_week,day,hour,open,high,low,close,volume
1756564800000,2025-08-30 18:10:00,8,5,30,14,3.799813128913077e-05,3.919828809978793e-05,3.0779661989160765e-05,3.756917613560229e-05,3647.0412660960374
1756564860000,2025-08-30 18:11:00,8,5,30,14,3.756917613560229e-05,4.196317575520528e-05,3.2581552785882564e-05,3.492045339207992e-05,5688.031854348976
1756564920000,2025-08-30 18:12:00,8,5,30,14,3.492045339207992e-05,3.720832752918851e-05,3.040495205282643e-05,3.528727211947989e-05,3550.454260922893
1756564980000,2025-08-30 18:13:00,8,5,30,14,3.528727211947989e-05,3.545453449099846e-05,3.096273046705839e-05,3.5134173968742406e-05,2851.9549572946516
1756565040000,2025-08-30 18:14:00,8,5,30,14,3.5134173968742406e-05,3.700387817367357e-05,3.117231337439877e-05,3.644450726504272e-05,2861.8490994946355
1756565100000,2025-08-30 18:15:00,8,5,30,14,3.644450726504272e-05,3.644450726504272e-05,2.38220383775526e-05,3.115122566556174e-05,6949.483673216036
1756565160000,2025-08-30 18:16:00,8,5,30,14,3.115122566556174e-05,3.3405021721142574e-05,2.8563712864273586e-05,3.2333852725152225e-05,3508.420037005263
1756565220000,2025-08-30 18:17:00,8,5,30,14,3.2333852725152225e-05,3.294933902992405e-05,2.999730879286342e-05,2.999730879286342e-05,1268.846255426793
1756565280000,2025-08-30 18:18:00,8,5,30,14,2.999730879286342e-05,3.5626648977058536e-05,2.8292863382680775e-05,3.5048679343994186e-05,4612.330184287489
1756565340000,2025-08-30 18:19:00,8,5,30,14,3.5048679343994186e-05,4.447360790959926e-05,3.412457565421825e-05,4.3103611623108636e-05,3738.7125166623077
1756565400000,2025-08-30 18:20:00,8,5,30,14,4.3103611623108636e-05,4.633844862161337e-05,3.92664918242664e-05,4.059263404582425e-05,6202.191167661842
1756565460000,2025-08-30 18:21:00,8,5,30,14,4.059263404582425e-05,4.476472155392987e-05,3.863638049244314e-05,4.330466125030832e-05,3409.3291964166747
1756565520000,2025-08-30 18:22:00,8,5,30,14,4.330466125030832e-05,4.646337191152438e-05,4.1438804523318013e-05,4.1438804523318013e-05,2073.4564234420177
1756565580000,2025-08-30 18:23:00,8,5,30,14,4.1438804523318013e-05,4.1587045736826754e-05,3.41042987312562e-05,3.41042987312562e-05,3602.7379284913627
1756565640000,2025-08-30 18:24:00,8,5,30,14,3.41042987312562e-05,3.937846131107965e-05,3.41042987312562e-05,3.811707564974e-05,2405.3565883637984
1756565700000,2025-08-30 18:25:00,8,5,30,14,3.811707564974e-05,3.811707564974e-05,3.147456614757483e-05,3.147456614757483e-05,2260.8314575005775
1756565760000,2025-08-30 18:26:00,8,5,30,14,3.147456614757483e-05,3.744488977266453e-05,3.0415476876615913e-05,3.4929431396838096e-05,2717.104571300564
1756565820000,2025-08-30 18:27:00,8,5,30,14,3.4929431396838096e-05,3.9183762024348096e-05,3.4929431396838096e-05,3.749079826547915e-05,1243.0047500485039
1756565880000,2025-08-30 18:28:00,8,5,30,14,3.749079826547915e-05,5.3475545482406707e-05,3.457713682658699e-05,5.2558083172514104e-05,9442.506235517701
1756565940000,2025-08-30 18:29:00,8,5,30,14,5.2558083172514104e-05,5.2558083172514104e-05,4.64325715093144e-05,4.677594988955427e-05,3641.3812718665745
